k_ins,k_del,k_sub,nw_coeff,scrambled_correlation,fail_correlation,core_value_min,core_value_max,core_value_mean,core_value_std,fail_core_min,fail_core_max,fail_core_mean,fail_core_std
1.5,1.0,2.0,0.2,0.969343187050811,-0.2675427695279524,0.0,1.0222222222222224,0.5445734693903905,0.21797792642966374,0.0,1.1111111111111112,0.604569336004571,0.31794732344977533
1.5,1.0,2.0,0.5,0.5940507181343332,0.6346588201408586,0.0,1.0555555555555556,0.5545095711249498,0.16645228973146373,0.0,1.2777777777777777,0.7496145117758031,0.25903415062588053
1.5,1.0,2.0,0.8,-0.06304337480402109,0.9504988483770139,0.0,1.323015873015873,0.5644456728595089,0.2146651167385428,0.0,1.6,0.8946596875470353,0.43541465096064663
1.5,1.5,0.5,0.2,0.9927631801358784,-0.48926549921453055,0.0,0.9,0.48941999065129327,0.2225736377295856,0.0,0.8777777777777778,0.45586586529539247,0.3517312338411948
1.5,1.5,0.5,0.5,0.8787848519313154,-0.26754276952795236,0.0,0.75,0.41662587427720654,0.14002271229026675,0.0,0.6944444444444444,0.37785583500285685,0.19871707715610953
1.5,1.5,0.5,0.8,0.22887091734040424,0.6346588201408585,0.0,0.6,0.34383175790311965,0.10982943949066974,0.0,0.5111111111111111,0.29984580471032124,0.10361366025035221
1.5,1.5,1.0,0.2,0.9768257826054674,-0.42306156383880705,0.0,0.9800000000000001,0.5348518085583112,0.2191383030793128,0.0,0.9555555555555556,0.5054336888651186,0.3382048536972199
1.5,1.5,1.0,0.5,0.669872384715558,0.09995491987527999,0.0,0.95,0.5302054190447512,0.15792921292847278,0.0,0.8888888888888888,0.5017753939271723,0.19364620949515626
1.5,1.5,1.0,0.8,-0.013191410766110039,0.8902630187022719,0.0,0.9666666666666667,0.5255590295311912,0.1876302305245718,0.0,0.8222222222222222,0.4981170989892259,0.20420173947750783
1.5,1.5,1.5,0.2,0.9683878982352856,-0.34899058830447166,0.0,1.01,0.5527187395432955,0.2179258589555341,0.0,1.0333333333333334,0.5550015124348447,0.3268655222067635
1.5,1.5,1.5,0.5,0.5858115033232407,0.4251462306060833,0.0,1.025,0.574872746507212,0.16768955239925712,0.0,1.0833333333333335,0.6256949528514877,0.2161070551004216
1.5,1.5,1.5,0.8,-0.0668454009605253,0.9356799916142512,0.0,1.2857142857142858,0.5970267534711288,0.21793312255620478,0.0,1.2000000000000002,0.6963883932681306,0.3183002664663385
1.5,1.5,2.0,0.2,0.9621268801068824,-0.2675427695279524,0.0,1.0222222222222224,0.5608385425384492,0.2173713426634106,0.0,1.1111111111111112,0.604569336004571,0.31794732344977533
1.5,1.5,2.0,0.5,0.5336978665436395,0.6346588201408586,0.0,1.0555555555555556,0.595172253995096,0.17517324442175064,0.0,1.2777777777777777,0.7496145117758031,0.25903415062588053
